hashed_id,rider_id,driver_id,fare,estimated_fare,ride_duration,estimated_ride_duration,ride_distance,estimated_ride_distance,status,rating,drivers_tried,undiscounted_fare,review_requested,discount,canceled_by,payment_type,status_rec,driver_assigned,canceled_by_type
94B4KG,557850,2322237,259,287,2727,3188,23868,23868,COMPLETED,5,"2322237,",287,0,29,,1,1,1,0
94BJGE,887095,7593297,59,111,1622,934,4980,4980,COMPLETED,5,"127502,7824,7593297,",118,0,59,,1,1,1,0
94D7KK,4641532,3624472,269,275,6174,2756,22972,22945,COMPLETED,0,"1498128,3624472,",299,0,30,,1,1,1,0
94DPP1,1026482,1831387,37,74,789,751,3307,3307,COMPLETED,5,"204588,5157946,2652964,2636075,1831387,",74,0,37,,1,1,1,0
94EDJ8,6351067,1956360,48,95,938,1122,6466,6466,COMPLETED,0,"1956360,",95,0,48,,1,1,1,0
94CO7I,117462,1404241,32,63,643,707,3607,3607,COMPLETED,5,"2787764,3324547,5233083,3201253,642661,2022651,1404241,",63,0,32,,1,1,1,0
94G7M9,447485,7786212,235,261,2931,2797,21591,21591,COMPLETED,0,"5764492,7786212,",261,0,26,,1,1,1,0
94B790,407508,4729930,44,88,1503,1187,5690,5690,COMPLETED,5,"4160037,1643609,3753144,1832877,3207972,6656378,4729930,",88,0,44,,1,1,1,0
94DA1D,548325,6440692,47,95,755,819,4790,4790,COMPLETED,5,"7776898,3295468,2941755,6440692,",95,0,47,,1,1,1,0
94ELIS,1394573,5559784,36,72,633,703,2870,2870,COMPLETED,0,"4560766,93298,5559784,",72,0,36,,1,1,1,0
94EMGT,18982,3282399,40,77,1227,789,4965,4965,COMPLETED,5,"3773332,3282399,",80,0,40,,1,1,1,0
94FM47,4602818,3903545,197,212,2903,2205,12469,12469,COMPLETED,5,"6798788,3903545,",219,0,22,,1,1,1,0
94E9EK,827136,2959338,47,90,1494,972,6045,6045,COMPLETED,4,"1015536,5666706,2959338,",93,0,47,,2,1,1,0
94EG6L,17927,4797302,48,96,1201,1161,6494,6494,COMPLETED,0,"4797302,",96,0,48,,1,1,1,0
94F04S,7400137,6438018,194,195,3868,1610,11559,11559,COMPLETED,5,"7733523,6438018,",216,0,22,,1,1,1,0
94FDH7,6858573,3593550,34,67,573,630,2216,2216,COMPLETED,5,"377173,3627466,3593550,",67,0,34,,1,1,1,0
94FK7S,209233,1299613,35,98,1147,1262,4071,6620,COMPLETED,5,"7059527,1299613,",71,0,35,,1,1,1,0
94G337,1929492,4018923,49,98,884,1032,5379,5379,COMPLETED,5,"4018923,",98,0,49,,1,1,1,0
94G8PB,7570480,6727941,231,256,2010,2728,20420,21159,COMPLETED,0,"5764492,7714385,6727941,",256,0,26,,1,1,1,0
94CMHL,1639219,3640187,268,284,4998,2965,24641,23722,COMPLETED,5,"5303503,517973,1673264,3640187,",298,0,30,,1,1,1,0
94DLKM,5593934,144189,47,93,1109,1119,6269,6269,COMPLETED,0,"1249381,1728194,4337637,144189,",93,0,47,,1,1,1,0
94G0CT,632074,4567346,32,64,855,709,3385,3688,COMPLETED,0,"4567346,",64,0,32,,1,1,1,0
